sku	asin	price	quantity
B7NSA005P0	B00S1XUO5O	92.99	1
B7NSA006P0	B00S38NRII	100.99	1
B7NSA007P0	B00RYC1HX6	89.99	1
B7NSA008P0	B00S1XUR7O	59.99	1
B7NSA009P0	B00S1XUTSG	64.99	1
B7NSA010P0	B00RYC1J02	132.99	1
B7NSA011P0	B00S1XUWC4	55.99	1
B7NSA012P0	B00S1XUZ3K	68.99	1
B7NSA014P0	B00S1XV2T6	96.99	1
B7NSA016P0	B00S1XV8SG	84.99	1
B7NSA017P0	B00S1XVBYW	99.99	1
B7NSA020P0	B00S1XVHJ6	108.99	1
B7NSA022P0	B00S1XVKI4	89.99	1
B7NSA025P0	B00S38NUIU	86.99	1
B7NSA026P0	B00S1XVOPS	62.99	1
B7NSA027P0	B00S1XVQW4	100.99	1
B7NSA029P0	B00S1XUEGS	51.99	1
B7NSA030P0	B00RYC1MCW	45.99	1
B7NSA031P0	B00RYC1G8W	139.99	1
B7NSA036P0	B00S1XUKDU	45.99	1
B7NSA037P0	B00S1XUMJC	61.99	1
B7NSA040P0	B00S1XURBU	63.99	1
B7NSA041P0	B00S1XUU5I	44.99	1
B7NSA042P0	B00S1XUXIM	63.99	1
B7NSA043P0	B00S1XV02U	114.99	1
B7NSA044P0	B00RYC1DLC	25.99	1
B7NSA049P0	B00S1XV2XC	121.99	1
B7NSA050P0	B00S1XV62O	105.99	1
B7NSA051P0	B00S38O4DK	101.99	1
B7NSA058P0	B00S1XVCI2	61.99	1
B7NSA107P0	B00S1XVFPM	44.99	1
B7NSA108P0	B00S1XVI5O	71.99	1
B7NSA110P0	B00S1XVLFG	69.99	1
B7NSA114P0	B00S1XVNPY	192.99	1
B7NSA115P0	B00S1XVQ3S	144.99	1
B7NSA116P0	B00S1XVSG8	93.99	1
B7NSA117P0	B00S38NQE8	140.99	1
B7NSA140P0	B00S38NT36	399.99	1
B7NSA141P0	B00S38NW8I	44.99	1
B7NSA142P0	B00S38NZS0	58.99	1
B7PLA002P0	B00TMA5A6S	25.99	1
B7PLA006G0	B00TMA59ZA	25.99	1
B7PLA007P0	B00TMF3POW	21.99	1
